file	line	kind	marker	status	assessment	context	source
CONTRIBUTING.md	187	doc-progress	explicitly; describe them as UNRUN. Tests must assert rows, authenticated sessions,	STILL TRUE — behavior/policy, not open work	Pending means operation/queue/phase state or a reporting rule. Read linked context; no missing implementation inferred.	if a required connection/certificate variable is absent, a service is unavailable, or a requested capability is missing. Without that flag local tests may be ignored explicitly; describe them as UNRUN. Tests must assert rows, authenticated sessions, round trips, replicated writes, cluster redirections, etc., not merely open sockets. 	https://github.com/PerryTS/turnloop/blob/a0fbb1bf9a100bb3215219f54301b9ee82ffe71f/CONTRIBUTING.md#L187
CONTRIBUTING.md	242	doc-progress	MySQL initialization crashes. Those real-server tests are **UNRUN (sandbox)**;	STILL TRUE — historical local; STALE as current coverage	P: real native and WASI 0.2 services; PW2/PW3: selected portable suites. Browser raw database TCP is unavailable; p3 real DB service run absent.	 In the managed macOS sandbox PostgreSQL initialization fails at `shmget` and MySQL initialization crashes. Those real-server tests are **UNRUN (sandbox)**; run the full command outside the sandbox. 	https://github.com/PerryTS/turnloop/blob/a0fbb1bf9a100bb3215219f54301b9ee82ffe71f/CONTRIBUTING.md#L242
CONTRIBUTING.md	248	doc-progress	effective TLS settings and pending restarts and print versions, roles and timeout	STILL TRUE — behavior/policy, not open work	Pending means operation/queue/phase state or a reporting rule. Read linked context; no missing implementation inferred.	`POSTGRES_USER`; a `postgres` database exists but a `postgres` role is not assumed. Both paths apply the same three SSL `ALTER SYSTEM` settings and reload, then check effective TLS settings and pending restarts and print versions, roles and timeout settings. The optional loopback TCP proxy preserves bytes and half-closes, opens one upstream connection per client, and reports forwarded bytes, connection counts	https://github.com/PerryTS/turnloop/blob/a0fbb1bf9a100bb3215219f54301b9ee82ffe71f/CONTRIBUTING.md#L248
CONTRIBUTING.md	282	doc-progress	required protocol job, independent of the pending production backend contracts.	STALE — current coverage/implementation	W2/W3 and PW2/PW3 execute. p3 bounded-host questions I04, files I06, p3 DNS I05 and compressed Mongo allocations I03 remain.	libtest CLI-argument lowering calling the generated allocator shim without a valid stack; these targets always run their full list, regardless of test filters. Both WASI 0.2 and 0.3 have a required protocol job, independent of the pending production backend contracts. For ring, install the same pinned C toolchain used by CI on Linux x86_64 or macOS arm64 (no system installation required):	https://github.com/PerryTS/turnloop/blob/a0fbb1bf9a100bb3215219f54301b9ee82ffe71f/CONTRIBUTING.md#L282
CONTRIBUTING.md	350	doc-progress	path is **UNRUN locally** because the development sandbox has no Docker.	STILL TRUE — historical local; STALE as current coverage	P: real native and WASI 0.2 services; PW2/PW3: selected portable suites. Browser raw database TCP is unavailable; p3 real DB service run absent.	suites. Mongo containers run with the host UID/GID, and their ownership labels are checked during cleanup. The Docker path is **UNRUN locally** because the development sandbox has no Docker.  Private server stdout and stderr are captured together under `.tools/`: Redis	https://github.com/PerryTS/turnloop/blob/a0fbb1bf9a100bb3215219f54301b9ee82ffe71f/CONTRIBUTING.md#L350
CONTRIBUTING.md	371	doc-progress	## Pending platform and measurement gates	MIXED — superseded execution and live limits	WEB: 13 production tests each Chrome/Firefox/Node. Historical standalone spike command was not rerun by these jobs. Historical host limits and remaining requirements stay valid; not a blanket pass.	are chained beneath the original startup/test error so both remain visible.  ## Pending platform and measurement gates  The `wasi` and `web` jobs run the production revision-2 providers and remain	https://github.com/PerryTS/turnloop/blob/a0fbb1bf9a100bb3215219f54301b9ee82ffe71f/CONTRIBUTING.md#L371
CONTRIBUTING.md	386	doc-progress	lifetime tests. The pending-contract metadata has been removed; zero counts fail	STILL TRUE — behavior/policy, not open work	Pending means operation/queue/phase state or a reporting rule. Read linked context; no missing implementation inferred.	The production IOCP backend implements revision 2 and runs the shared contracts, including no-spin and allocation gates, plus Windows process, console, GUI and lifetime tests. The pending-contract metadata has been removed; zero counts fail on Windows just as on Unix. Cross-compilation does not establish runtime coverage. 	https://github.com/PerryTS/turnloop/blob/a0fbb1bf9a100bb3215219f54301b9ee82ffe71f/CONTRIBUTING.md#L386
CONTRIBUTING.md	399	manual-doc-claim	These remain failing gates until the strict requirements pass.	STALE — current coverage	These gates now pass GATE/W2/W3/WEB; p3 bounded-host limitations remain I04.	  for setup, explicit platform exclusions and outstanding p3 runtime limitations.   These remain failing gates until the strict requirements pass. - **Linux instruction regression:** run against the committed baseline on Ubuntu   24.04 x86_64. Use the candidate command below only for a reviewed rebaseline;	https://github.com/PerryTS/turnloop/blob/a0fbb1bf9a100bb3215219f54301b9ee82ffe71f/CONTRIBUTING.md#L399
DESIGN.md	32	doc-progress	- **`fast`** does the same with a 1 ms timeout on every JS-work iteration while native work is pending (`async_bridge.rs:381`).	STILL TRUE — behavior/policy, not open work	Pending means operation/queue/phase state or a reporting rule. Read linked context; no missing implementation inferred.	 - **`sleep`** runs `RUNTIME.block_on(async { EVENT_READY.notified(); timeout(max(budget, 1 ms), notified) })` (`perry-stdlib/src/common/async_bridge.rs:314`). Every loop turn builds and tears down a `block_on`, a `Notify` registration and a timer-wheel entry, and never waits less than 1 ms. - **`fast`** does the same with a 1 ms timeout on every JS-work iteration while native work is pending (`async_bridge.rs:381`). - **Several ext crates** (pg, mysql2, mongodb, ioredis, fetch, nodemailer, axios) hand each request to a blocking-pool thread that calls `Handle::current().block_on`. 	https://github.com/PerryTS/turnloop/blob/a0fbb1bf9a100bb3215219f54301b9ee82ffe71f/DESIGN.md#L32
DESIGN.md	449	doc-progress	- A handle, pending operation or timer is **referenced** by default. `set_ref(h, false)` excludes it from `alive()`, but it still produces completions while something else keeps the loop running.	STILL TRUE — behavior/policy, not open work	Pending means operation/queue/phase state or a reporting rule. Read linked context; no missing implementation inferred.	## 8. Loop liveness and ref/unref  - A handle, pending operation or timer is **referenced** by default. `set_ref(h, false)` excludes it from `alive()`, but it still produces completions while something else keeps the loop running. - This is exactly Node's `ref()`/`unref()`. Perry implements it today in five places: timers (`timer.rs:916, 921`), dgram, child_process, ext-net (`option_setters.rs:60`) and the HTTP server. Bundled stdlib net has none (`net/mod.rs:1966–1974`). One mechanism replaces those. - `alive()` is O(1): a counter maintained on submit, complete and ref changes.	https://github.com/PerryTS/turnloop/blob/a0fbb1bf9a100bb3215219f54301b9ee82ffe71f/DESIGN.md#L449
